,chain,timestamp,act.addr.cnt,metric_name,value
113,BTC,1630368000000,0,act.addr.cnt,930055.0
114,BTC,1630454400000,0,act.addr.cnt,954959.0
115,BTC,1630540800000,0,act.addr.cnt,1026339.0
116,BTC,1630627200000,0,act.addr.cnt,1008068.0
117,BTC,1630713600000,0,act.addr.cnt,776022.0
118,BTC,1630800000000,0,act.addr.cnt,735688.0
119,BTC,1630886400000,0,act.addr.cnt,968860.0
120,BTC,1630972800000,0,act.addr.cnt,938525.0
121,BTC,1631059200000,0,act.addr.cnt,907794.0
122,BTC,1631145600000,0,act.addr.cnt,937415.0
123,BTC,1631232000000,0,act.addr.cnt,906178.0
124,BTC,1631318400000,0,act.addr.cnt,823454.0
125,BTC,1631404800000,0,act.addr.cnt,705573.0
126,BTC,1631491200000,0,act.addr.cnt,908372.0
127,BTC,1631577600000,0,act.addr.cnt,952892.0
128,BTC,1631664000000,0,act.addr.cnt,976201.0
129,BTC,1631750400000,0,act.addr.cnt,1021047.0
130,BTC,1631836800000,0,act.addr.cnt,943981.0
131,BTC,1631923200000,0,act.addr.cnt,819880.0
132,BTC,1632009600000,0,act.addr.cnt,714326.0
133,BTC,1632096000000,0,act.addr.cnt,1014971.0
134,BTC,1632182400000,0,act.addr.cnt,844883.0
135,BTC,1632268800000,0,act.addr.cnt,888195.0
136,BTC,1632355200000,0,act.addr.cnt,918846.0
137,BTC,1632441600000,0,act.addr.cnt,958548.0
138,BTC,1632528000000,0,act.addr.cnt,702530.0
139,BTC,1632614400000,0,act.addr.cnt,699993.0
140,BTC,1632700800000,0,act.addr.cnt,901586.0
141,BTC,1632787200000,0,act.addr.cnt,935822.0
142,BTC,1632873600000,0,act.addr.cnt,830989.0
143,BTC,1632960000000,0,act.addr.cnt,1059608.0
144,BTC,1633046400000,0,act.addr.cnt,962201.0
145,BTC,1633132800000,0,act.addr.cnt,963528.0
146,BTC,1633219200000,0,act.addr.cnt,808347.0
147,BTC,1633305600000,0,act.addr.cnt,1015651.0
148,BTC,1633392000000,0,act.addr.cnt,1037679.0
149,BTC,1633478400000,0,act.addr.cnt,914612.0
150,BTC,1633564800000,0,act.addr.cnt,1144142.0
151,BTC,1633651200000,0,act.addr.cnt,978503.0
152,BTC,1633737600000,0,act.addr.cnt,991926.0
153,BTC,1633824000000,0,act.addr.cnt,803826.0
154,BTC,1633910400000,0,act.addr.cnt,1009017.0
155,BTC,1633996800000,0,act.addr.cnt,937369.0
156,BTC,1634083200000,0,act.addr.cnt,975651.0
157,BTC,1634169600000,0,act.addr.cnt,1007101.0
158,BTC,1634256000000,0,act.addr.cnt,1017121.0
159,BTC,1634342400000,0,act.addr.cnt,937355.0
160,BTC,1634428800000,0,act.addr.cnt,823877.0
161,BTC,1634515200000,0,act.addr.cnt,1003479.0
162,BTC,1634601600000,0,act.addr.cnt,1077371.0
163,BTC,1634688000000,0,act.addr.cnt,977215.0
164,BTC,1634774400000,0,act.addr.cnt,1139133.0
165,BTC,1634860800000,0,act.addr.cnt,957015.0
