,chain,timestamp,metric_name,value
132,BTC,1632009600000,act.addr.cnt,714326
133,BTC,1632096000000,act.addr.cnt,1014971
134,BTC,1632182400000,act.addr.cnt,844883
135,BTC,1632268800000,act.addr.cnt,888195
136,BTC,1632355200000,act.addr.cnt,918846
137,BTC,1632441600000,act.addr.cnt,958548
138,BTC,1632528000000,act.addr.cnt,702530
139,BTC,1632614400000,act.addr.cnt,699993
140,BTC,1632700800000,act.addr.cnt,901586
141,BTC,1632787200000,act.addr.cnt,935822
142,BTC,1632873600000,act.addr.cnt,830989
143,BTC,1632960000000,act.addr.cnt,1059608
144,BTC,1633046400000,act.addr.cnt,962201
145,BTC,1633132800000,act.addr.cnt,963528
146,BTC,1633219200000,act.addr.cnt,808347
147,BTC,1633305600000,act.addr.cnt,1015651
148,BTC,1633392000000,act.addr.cnt,1037679
149,BTC,1633478400000,act.addr.cnt,914612
150,BTC,1633564800000,act.addr.cnt,1144142
151,BTC,1633651200000,act.addr.cnt,978503
152,BTC,1633737600000,act.addr.cnt,991926
153,BTC,1633824000000,act.addr.cnt,803826
154,BTC,1633910400000,act.addr.cnt,1009017
155,BTC,1633996800000,act.addr.cnt,937369
156,BTC,1634083200000,act.addr.cnt,975651
157,BTC,1634169600000,act.addr.cnt,1007101
158,BTC,1634256000000,act.addr.cnt,1017121
159,BTC,1634342400000,act.addr.cnt,937355
160,BTC,1634428800000,act.addr.cnt,823877
161,BTC,1634515200000,act.addr.cnt,1003479
162,BTC,1634601600000,act.addr.cnt,1077371
163,BTC,1634688000000,act.addr.cnt,977215
164,BTC,1634774400000,act.addr.cnt,1139133
165,BTC,1634860800000,act.addr.cnt,957015
166,BTC,1634947200000,act.addr.cnt,826969
167,BTC,1635033600000,act.addr.cnt,737951
168,BTC,1635120000000,act.addr.cnt,1079523
169,BTC,1635206400000,act.addr.cnt,998333
170,BTC,1635292800000,act.addr.cnt,944035
171,BTC,1635379200000,act.addr.cnt,1055114
172,BTC,1635465600000,act.addr.cnt,1014855
173,BTC,1635552000000,act.addr.cnt,906672
174,BTC,1635638400000,act.addr.cnt,893617
175,BTC,1635724800000,act.addr.cnt,1053426
176,BTC,1635811200000,act.addr.cnt,1035030
177,BTC,1635897600000,act.addr.cnt,1069212
178,BTC,1635984000000,act.addr.cnt,998917
179,BTC,1636070400000,act.addr.cnt,1037437
180,BTC,1636156800000,act.addr.cnt,825483
181,BTC,1636243200000,act.addr.cnt,826432
182,BTC,1636329600000,act.addr.cnt,1018796
183,BTC,1636416000000,act.addr.cnt,1195638
184,BTC,1636502400000,act.addr.cnt,1022756
185,BTC,1636588800000,act.addr.cnt,1037951
186,BTC,1636675200000,act.addr.cnt,975353
187,BTC,1636761600000,act.addr.cnt,828248
188,BTC,1636848000000,act.addr.cnt,806451
