,chain,total_relays,total_pokt,point,first_time,last_time
329,Avalanche Mainnet,209479,1864.3631,18,2021-12-18T00:03:48.107Z,0
330,ETH Archival Trace,2866539,25512.1971,18,2021-12-18T00:03:48.107Z,0
331,FUSE Mainnet,5918861,52677.8629,18,2021-12-18T00:03:48.107Z,0
332,BSC Mainnet,110737,985.5593,18,2021-12-18T00:03:48.107Z,0
333,Ethereum Goerli,571588,5087.1332,18,2021-12-18T00:03:48.107Z,0
334,Ethereum Rinkeby,271627,2417.4803,18,2021-12-18T00:03:48.107Z,0
335,IoTeX Mainnet,76728,682.8792,18,2021-12-18T00:03:48.107Z,0
336,FUSE Archival,65948,586.9372,18,2021-12-18T00:03:48.107Z,0
337,Ethereum Kovan,74106,659.5434,18,2021-12-18T00:03:48.107Z,0
338,POKT Mainnet,122743,1092.4127,19,2021-12-19T00:16:35.432Z,0
339,Solana Mainnet,515111,4584.4879,19,2021-12-19T00:16:35.432Z,0
340,xDAI,1305942,11622.8838,19,2021-12-19T00:16:35.432Z,0
341,Ethereum Ropsten,177840,1582.776,19,2021-12-19T00:16:35.432Z,0
342,IoTeX Mainnet,163658,1456.5562,19,2021-12-19T00:16:35.432Z,0
343,FUSE Mainnet,5775429,51401.3181,19,2021-12-19T00:16:35.432Z,0
344,Ethereum,34786425,309599.1825,19,2021-12-19T00:16:35.432Z,0
345,Ethereum Rinkeby,383718,3415.0902,19,2021-12-19T00:16:35.432Z,0
346,Ethereum Goerli,637224,5671.2936,19,2021-12-19T00:16:35.432Z,0
347,BSC Mainnet,145387,1293.9442999999999,19,2021-12-19T00:16:35.432Z,0
348,Harmony Shard 0,126089614,1122197.5646,19,2021-12-19T00:16:35.432Z,0
349,Avalanche Mainnet,263040,2341.056,19,2021-12-19T00:16:35.432Z,0
350,Polygon Mainnet,1261340,11225.926,19,2021-12-19T00:16:35.432Z,0
351,Polygon Archival,124224,1105.5936,19,2021-12-19T00:16:35.432Z,0
352,ETH Archival Trace,3267003,29076.3267,19,2021-12-19T00:16:35.432Z,0
353,Ethereum Kovan,149463,1330.2207,19,2021-12-19T00:16:35.432Z,0
354,xDAI Archival,125557,1117.4573,19,2021-12-19T00:16:35.432Z,0
355,FUSE Archival,139920,1245.288,19,2021-12-19T00:16:35.432Z,0
356,Ethereum Archival,1852,16.4828,19,2021-12-19T00:16:35.432Z,0
357,BSC Mainnet,159875,1422.8875,20,2021-12-20T00:13:13.881Z,0
358,Avalanche Mainnet,249763,2222.8907,20,2021-12-20T00:13:13.881Z,0
359,Ethereum Rinkeby,375226,3339.5114,20,2021-12-20T00:13:13.881Z,0
360,xDAI,1782936,15868.1304,20,2021-12-20T00:13:13.881Z,0
361,Ethereum Goerli,901868,8026.6251999999995,20,2021-12-20T00:13:13.881Z,0
362,Ethereum,36113414,321409.3846,20,2021-12-20T00:13:13.881Z,0
363,FUSE Mainnet,6339961,56425.6529,20,2021-12-20T00:13:13.881Z,0
364,Polygon Mainnet,2016101,17943.2989,20,2021-12-20T00:13:13.881Z,0
365,ETH Archival Trace,4077490,36289.661,20,2021-12-20T00:13:13.881Z,0
366,Harmony Shard 0,140255071,1248270.1319,20,2021-12-20T00:13:13.881Z,0
367,Ethereum Kovan,134814,1199.8446,20,2021-12-20T00:13:13.881Z,0
368,xDAI Archival,121322,1079.7658,20,2021-12-20T00:13:13.881Z,0
369,Solana Mainnet,587657,5230.1473,20,2021-12-20T00:13:13.881Z,0
370,Ethereum Ropsten,176137,1567.6193,20,2021-12-20T00:13:13.881Z,0
371,IoTeX Mainnet,156975,1397.0775,20,2021-12-20T00:13:13.881Z,0
372,POKT Mainnet,152455,1356.8495,20,2021-12-20T00:13:13.881Z,0
373,Polygon Archival,164787,1466.6043,20,2021-12-20T00:13:13.881Z,0
374,FUSE Archival,135773,1208.3797,20,2021-12-20T00:13:13.881Z,0
375,FUSE Mainnet,3538557,31493.1573,21,2021-12-21T00:14:15.215Z,0
376,Ethereum Goerli,557948,4965.7372,21,2021-12-21T00:14:15.215Z,0
377,Ethereum Kovan,84589,752.8421,21,2021-12-21T00:14:15.215Z,0
378,Ethereum Ropsten,107377,955.6553,21,2021-12-21T00:14:15.215Z,0
379,ETH Archival Trace,2897878,25791.1142,21,2021-12-21T00:14:15.215Z,0
380,BSC Mainnet,89360,795.304,21,2021-12-21T00:14:15.215Z,0
381,Ethereum,24525835,218279.9315,21,2021-12-21T00:14:15.215Z,0
382,Polygon Mainnet,2477511,22049.8479,21,2021-12-21T00:14:15.215Z,0
383,Avalanche Mainnet,202818,1805.0801999999999,21,2021-12-21T00:14:15.215Z,0
384,Solana Mainnet,419158,3730.5062,21,2021-12-21T00:14:15.215Z,0
385,xDAI,1000713,8906.3457,21,2021-12-21T00:14:15.215Z,0
386,Ethereum Rinkeby,256261,2280.7228999999998,21,2021-12-21T00:14:15.215Z,0
387,Harmony Shard 0,85180718,758108.3902,21,2021-12-21T00:14:15.215Z,0
388,xDAI Archival,80478,716.2542,21,2021-12-21T00:14:15.215Z,0
389,Polygon Archival,84878,755.4141999999999,21,2021-12-21T00:14:15.215Z,0
390,POKT Mainnet,103375,920.0375,21,2021-12-21T00:14:15.215Z,0
391,IoTeX Mainnet,100294,892.6166,21,2021-12-21T00:14:15.215Z,0
392,FUSE Archival,84479,751.8631,21,2021-12-21T00:14:15.215Z,0
393,POKT Mainnet,324680,2889.652,22,2021-12-22T00:08:32.506Z,0
394,Ethereum Ropsten,165710,1474.819,22,2021-12-22T00:08:32.506Z,0
395,IoTeX Mainnet,178004,1584.2356,22,2021-12-22T00:08:32.506Z,0
396,Avalanche Mainnet,340139,3027.2371,22,2021-12-22T00:08:32.506Z,0
397,Polygon Mainnet,2675935,23815.8215,22,2021-12-22T00:08:32.506Z,0
398,Harmony Shard 0,140692441,1252162.7249,22,2021-12-22T00:08:32.506Z,0
399,BSC Mainnet,174853,1556.1917,22,2021-12-22T00:08:32.506Z,0
400,xDAI Archival,137711,1225.6279,22,2021-12-22T00:08:32.506Z,0
401,Solana Mainnet,685277,6098.9653,22,2021-12-22T00:08:32.506Z,0
402,Ethereum,38200620,339985.518,22,2021-12-22T00:08:32.506Z,0
403,FUSE Mainnet,8865688,78904.6232,22,2021-12-22T00:08:32.506Z,0
404,xDAI,2428392,21612.6888,22,2021-12-22T00:08:32.506Z,0
405,Ethereum Kovan,131225,1167.9025,22,2021-12-22T00:08:32.506Z,0
406,Polygon Archival,168168,1496.6951999999999,22,2021-12-22T00:08:32.506Z,0
407,Ethereum Rinkeby,394812,3513.8268,22,2021-12-22T00:08:32.506Z,0
408,Ethereum Goerli,909959,8098.6350999999995,22,2021-12-22T00:08:32.506Z,0
409,ETH Archival Trace,4832330,43007.737,22,2021-12-22T00:08:32.506Z,0
410,FUSE Archival,142861,1271.4629,22,2021-12-22T00:08:32.506Z,0
411,Ethereum Archival,13,0.1157,22,2021-12-22T00:08:32.506Z,0
412,ETH Archival Trace,4308643,38346.9227,23,2021-12-23T00:05:14.523Z,0
413,Polygon Archival,219851,1956.6739,23,2021-12-23T00:05:14.523Z,0
414,xDAI Archival,125425,1116.2825,23,2021-12-23T00:05:14.523Z,0
415,IoTeX Mainnet,149074,1326.7586,23,2021-12-23T00:05:14.523Z,0
416,Ethereum Ropsten,155288,1382.0632,23,2021-12-23T00:05:14.523Z,0
417,BSC Mainnet,217186,1932.9554,23,2021-12-23T00:05:14.523Z,0
418,Ethereum Goerli,834904,7430.6456,23,2021-12-23T00:05:14.523Z,0
419,Polygon Mainnet,3723928,33142.9592,23,2021-12-23T00:05:14.523Z,0
420,Ethereum Kovan,133002,1183.7178,23,2021-12-23T00:05:14.523Z,0
421,Ethereum Rinkeby,372824,3318.1336,23,2021-12-23T00:05:14.523Z,0
422,Harmony Shard 0,144126923,1282729.6147,23,2021-12-23T00:05:14.523Z,0
423,Avalanche Mainnet,402952,3586.2728,23,2021-12-23T00:05:14.523Z,0
424,xDAI,2035079,18112.2031,23,2021-12-23T00:05:14.523Z,0
425,Ethereum,32103245,285718.88049999997,23,2021-12-23T00:05:14.523Z,0
426,POKT Mainnet,273179,2431.2931,23,2021-12-23T00:05:14.523Z,0
427,Solana Mainnet,616257,5484.6873,23,2021-12-23T00:05:14.523Z,0
428,FUSE Mainnet,7260648,64619.7672,23,2021-12-23T00:05:14.523Z,0
429,FUSE Archival,140420,1249.738,23,2021-12-23T00:05:14.523Z,0
430,Solana Mainnet,617462,5495.4118,24,2021-12-24T00:09:05.339Z,0
431,Harmony Shard 0,133386884,1187143.2676,24,2021-12-24T00:09:05.339Z,0
432,Ethereum Rinkeby,377700,3361.5299999999997,24,2021-12-24T00:09:05.339Z,0
433,POKT Mainnet,258706,2302.4834,24,2021-12-24T00:09:05.339Z,0
434,BSC Mainnet,245274,2182.9386,24,2021-12-24T00:09:05.339Z,0
435,xDAI Archival,120847,1075.5383,24,2021-12-24T00:09:05.339Z,0
436,xDAI,1996902,17772.4278,24,2021-12-24T00:09:05.339Z,0
437,Ethereum Ropsten,134053,1193.0717,24,2021-12-24T00:09:05.339Z,0
438,FUSE Mainnet,12313501,109590.1589,24,2021-12-24T00:09:05.339Z,0
439,Polygon Mainnet,4970650,44238.784999999996,24,2021-12-24T00:09:05.339Z,0
440,ETH Archival Trace,4222286,37578.3454,24,2021-12-24T00:09:05.339Z,0
441,Ethereum,29188350,259776.315,24,2021-12-24T00:09:05.339Z,0
442,Ethereum Goerli,859829,7652.4781,24,2021-12-24T00:09:05.339Z,0
443,Ethereum Kovan,143283,1275.2187,24,2021-12-24T00:09:05.339Z,0
444,Avalanche Mainnet,445737,3967.0593,24,2021-12-24T00:09:05.339Z,0
445,IoTeX Mainnet,152522,1357.4458,24,2021-12-24T00:09:05.339Z,0
446,Polygon Archival,211390,1881.371,24,2021-12-24T00:09:05.339Z,0
447,FUSE Archival,145298,1293.1522,24,2021-12-24T00:09:05.339Z,0
448,Ethereum Rinkeby,358406,3189.8134,25,2021-12-25T00:00:38.954Z,0
449,Harmony Shard 0,119940515,1067470.5835,25,2021-12-25T00:00:38.954Z,0
450,ETH Archival Trace,4110087,36579.7743,25,2021-12-25T00:00:38.954Z,0
451,FUSE Archival,138782,1235.1598,25,2021-12-25T00:00:38.954Z,0
452,xDAI Archival,135623,1207.0447,25,2021-12-25T00:00:38.954Z,0
453,Ethereum Ropsten,127844,1137.8116,25,2021-12-25T00:00:38.954Z,0
454,Avalanche Mainnet,458690,4082.341,25,2021-12-25T00:00:38.954Z,0
455,Polygon Mainnet,4209442,37464.0338,25,2021-12-25T00:00:38.954Z,0
456,Ethereum,26377781,234762.25089999998,25,2021-12-25T00:00:38.954Z,0
457,xDAI,2105819,18741.789099999998,25,2021-12-25T00:00:38.954Z,0
458,IoTeX Mainnet,159491,1419.4699,25,2021-12-25T00:00:38.954Z,0
459,Ethereum Goerli,1016993,9051.2377,25,2021-12-25T00:00:38.954Z,0
460,FUSE Mainnet,14270470,127007.183,25,2021-12-25T00:00:38.954Z,0
461,Solana Mainnet,648831,5774.5959,25,2021-12-25T00:00:38.954Z,0
462,BSC Mainnet,267336,2379.2904,25,2021-12-25T00:00:38.954Z,0
463,POKT Mainnet,265451,2362.5139,25,2021-12-25T00:00:38.954Z,0
464,Polygon Archival,223727,1991.1703,25,2021-12-25T00:00:38.954Z,0
465,Ethereum Kovan,155320,1382.348,25,2021-12-25T00:00:38.954Z,0
466,FUSE Mainnet,13107944,116660.7016,26,2021-12-26T00:08:09.206Z,0
467,BSC Mainnet,279581,2488.2709,26,2021-12-26T00:08:09.206Z,0
468,FUSE Archival,139185,1238.7465,26,2021-12-26T00:08:09.206Z,0
469,Ethereum Goerli,1013127,9016.8303,26,2021-12-26T00:08:09.206Z,0
470,Ethereum Rinkeby,353685,3147.7965,26,2021-12-26T00:08:09.206Z,0
471,Ethereum Kovan,127508,1134.8212,26,2021-12-26T00:08:09.206Z,0
472,Solana Mainnet,637907,5677.3723,26,2021-12-26T00:08:09.206Z,0
473,Ethereum Ropsten,138157,1229.5973,26,2021-12-26T00:08:09.206Z,0
474,xDAI Archival,129559,1153.0751,26,2021-12-26T00:08:09.206Z,0
475,ETH Archival Trace,3885242,34578.6538,26,2021-12-26T00:08:09.206Z,0
476,Avalanche Mainnet,461057,4103.4073,26,2021-12-26T00:08:09.206Z,0
477,POKT Mainnet,262652,2337.6028,26,2021-12-26T00:08:09.206Z,0
478,Harmony Shard 0,127534033,1135052.8937,26,2021-12-26T00:08:09.206Z,0
479,xDAI,1798040,16002.556,26,2021-12-26T00:08:09.206Z,0
480,IoTeX Mainnet,157537,1402.0792999999999,26,2021-12-26T00:08:09.206Z,0
481,Polygon Archival,199103,1772.0167,26,2021-12-26T00:08:09.206Z,0
482,Polygon Mainnet,4610894,41036.9566,26,2021-12-26T00:08:09.206Z,0
483,Ethereum,29177630,259680.907,26,2021-12-26T00:08:09.206Z,0
484,Ethereum Archival,501,4.4589,26,2021-12-26T00:08:09.206Z,0
485,Ethereum Kovan,130862,1164.6718,27,2021-12-27T00:07:59.112Z,0
486,IoTeX Mainnet,151197,1345.6533,27,2021-12-27T00:07:59.112Z,0
487,Polygon Mainnet,5369073,47784.7497,27,2021-12-27T00:07:59.112Z,0
488,Harmony Shard 0,136514292,1214977.1988,27,2021-12-27T00:07:59.112Z,0
489,Solana Mainnet,645032,5740.7848,27,2021-12-27T00:07:59.112Z,0
490,Avalanche Mainnet,427919,3808.4791,27,2021-12-27T00:07:59.112Z,0
491,Ethereum,31295563,278530.5107,27,2021-12-27T00:07:59.112Z,0
492,Ethereum Rinkeby,336284,2992.9276,27,2021-12-27T00:07:59.112Z,0
493,ETH Archival Trace,4167464,37090.4296,27,2021-12-27T00:07:59.112Z,0
494,Ethereum Ropsten,149064,1326.6696,27,2021-12-27T00:07:59.112Z,0
495,POKT Mainnet,271613,2417.3557,27,2021-12-27T00:07:59.112Z,0
496,FUSE Archival,137667,1225.2363,27,2021-12-27T00:07:59.112Z,0
497,xDAI,1939516,17261.6924,27,2021-12-27T00:07:59.112Z,0
498,BSC Mainnet,319911,2847.2079,27,2021-12-27T00:07:59.112Z,0
499,xDAI Archival,130869,1164.7341,27,2021-12-27T00:07:59.112Z,0
500,Ethereum Goerli,868679,7731.2431,27,2021-12-27T00:07:59.112Z,0
501,Polygon Archival,221863,1974.5807,27,2021-12-27T00:07:59.112Z,0
502,FUSE Mainnet,11585377,103109.8553,27,2021-12-27T00:07:59.112Z,0
503,Ethereum Archival,52479,467.0631,27,2021-12-27T00:07:59.112Z,0
504,ETH Archival Trace,4292552,38203.7128,28,2021-12-28T00:08:58.526Z,0
505,Harmony Shard 0,143648707,1278473.4923,28,2021-12-28T00:08:58.526Z,0
506,Ethereum,47365663,421554.4007,28,2021-12-28T00:08:58.526Z,0
507,xDAI Archival,160681,1430.0609,28,2021-12-28T00:08:58.526Z,0
508,POKT Mainnet,271633,2417.5337,28,2021-12-28T00:08:58.526Z,0
509,Ethereum Ropsten,155204,1381.3156,28,2021-12-28T00:08:58.526Z,0
510,Avalanche Mainnet,286058,2545.9162,28,2021-12-28T00:08:58.526Z,0
511,IoTeX Mainnet,159067,1415.6963,28,2021-12-28T00:08:58.526Z,0
512,FUSE Mainnet,9730658,86602.8562,28,2021-12-28T00:08:58.526Z,0
513,Ethereum Kovan,146103,1300.3167,28,2021-12-28T00:08:58.526Z,0
514,FUSE Archival,136838,1217.8582,28,2021-12-28T00:08:58.526Z,0
515,Ethereum Goerli,854560,7605.584,28,2021-12-28T00:08:58.526Z,0
516,Ethereum Rinkeby,353885,3149.5765,28,2021-12-28T00:08:58.526Z,0
517,Polygon Mainnet,5038000,44838.2,28,2021-12-28T00:08:58.526Z,0
518,xDAI,2574052,22909.0628,28,2021-12-28T00:08:58.526Z,0
519,Solana Mainnet,617457,5495.3673,28,2021-12-28T00:08:58.526Z,0
520,BSC Mainnet,358560,3191.184,28,2021-12-28T00:08:58.526Z,0
521,Polygon Archival,209662,1865.9918,28,2021-12-28T00:08:58.526Z,0
522,Ethereum Archival,87372,777.6108,28,2021-12-28T00:08:58.526Z,0
523,Ethereum Archival,72885,648.6765,29,2021-12-29T00:01:19.697Z,0
524,xDAI Archival,138595,1233.4955,29,2021-12-29T00:01:19.697Z,0
525,Solana Mainnet,650723,5791.4347,29,2021-12-29T00:01:19.697Z,0
526,xDAI,2140220,19047.958,29,2021-12-29T00:01:19.697Z,0
527,Ethereum Kovan,147775,1315.1975,29,2021-12-29T00:01:19.697Z,0
528,FUSE Mainnet,7416517,66007.0013,29,2021-12-29T00:01:19.697Z,0
529,BSC Mainnet,367488,3270.6432,29,2021-12-29T00:01:19.697Z,0
530,Ethereum Goerli,876496,7800.8144,29,2021-12-29T00:01:19.697Z,0
531,Ethereum Rinkeby,388916,3461.3523999999998,29,2021-12-29T00:01:19.697Z,0
532,Polygon Mainnet,4524046,40264.0094,29,2021-12-29T00:01:19.697Z,0
533,IoTeX Mainnet,162267,1444.1763,29,2021-12-29T00:01:19.697Z,0
534,POKT Mainnet,272140,2422.046,29,2021-12-29T00:01:19.697Z,0
535,Ethereum Ropsten,149032,1326.3848,29,2021-12-29T00:01:19.697Z,0
536,Harmony Shard 0,151782704,1350866.0656,29,2021-12-29T00:01:19.697Z,0
537,Ethereum,38671266,344174.2674,29,2021-12-29T00:01:19.697Z,0
538,Avalanche Mainnet,260159,2315.4151,29,2021-12-29T00:01:19.697Z,0
539,ETH Archival Trace,4536439,40374.3071,29,2021-12-29T00:01:19.697Z,0
540,Polygon Archival,214966,1913.1974,29,2021-12-29T00:01:19.697Z,0
541,FUSE Archival,155885,1387.3765,29,2021-12-29T00:01:19.697Z,0
542,Harmony Shard 0,147033212,1308595.5868,30,2021-12-30T00:09:08.702Z,0
543,FUSE Mainnet,5312882,47284.6498,30,2021-12-30T00:09:08.702Z,0
544,Ethereum Ropsten,138258,1230.4962,30,2021-12-30T00:09:08.702Z,0
545,FUSE Archival,143070,1273.323,30,2021-12-30T00:09:08.702Z,0
546,Polygon Mainnet,3250402,28928.5778,30,2021-12-30T00:09:08.702Z,0
547,Avalanche Mainnet,295578,2630.6442,30,2021-12-30T00:09:08.702Z,0
548,Solana Mainnet,628145,5590.4905,30,2021-12-30T00:09:08.702Z,0
549,xDAI Archival,131341,1168.9349,30,2021-12-30T00:09:08.702Z,0
550,xDAI,2059142,18326.3638,30,2021-12-30T00:09:08.702Z,0
551,Ethereum Rinkeby,390840,3478.476,30,2021-12-30T00:09:08.702Z,0
552,Ethereum Kovan,145389,1293.9621,30,2021-12-30T00:09:08.702Z,0
553,POKT Mainnet,208125,1852.3125,30,2021-12-30T00:09:08.702Z,0
554,BSC Mainnet,386267,3437.7763,30,2021-12-30T00:09:08.702Z,0
555,ETH Archival Trace,4316527,38417.090299999996,30,2021-12-30T00:09:08.702Z,0
556,Ethereum Goerli,760704,6770.2656,30,2021-12-30T00:09:08.702Z,0
557,Ethereum,34573065,307700.2785,30,2021-12-30T00:09:08.702Z,0
558,Ethereum Archival,73718,656.0902,30,2021-12-30T00:09:08.702Z,0
559,Polygon Archival,216424,1926.1736,30,2021-12-30T00:09:08.702Z,0
560,IoTeX Mainnet,150569,1340.0641,30,2021-12-30T00:09:08.702Z,0
561,xDAI Archival,133047,1184.1183,Dec 31,2021-12-31T00:12:59.455Z,0
562,FUSE Archival,143463,1276.8207,Dec 31,2021-12-31T00:12:59.455Z,0
563,Polygon Mainnet,4793066,42658.2874,Dec 31,2021-12-31T00:12:59.455Z,0
564,ETH Archival Trace,3907166,34773.7774,Dec 31,2021-12-31T00:12:59.455Z,0
565,Ethereum Ropsten,143391,1276.1799,Dec 31,2021-12-31T00:12:59.455Z,0
566,Harmony Shard 0,145732129,1297015.9481,Dec 31,2021-12-31T00:12:59.455Z,0
567,Polygon Archival,218919,1948.3790999999999,Dec 31,2021-12-31T00:12:59.455Z,0
568,Ethereum,31340920,278934.188,Dec 31,2021-12-31T00:12:59.455Z,0
569,FUSE Mainnet,5116276,45534.8564,Dec 31,2021-12-31T00:12:59.455Z,0
570,POKT Mainnet,193966,1726.2974,Dec 31,2021-12-31T00:12:59.455Z,0
571,Ethereum Goerli,739161,6578.5329,Dec 31,2021-12-31T00:12:59.455Z,0
572,Solana Mainnet,666049,5927.8360999999995,Dec 31,2021-12-31T00:12:59.455Z,0
573,Ethereum Rinkeby,351871,3131.6519,Dec 31,2021-12-31T00:12:59.455Z,0
574,xDAI,2121051,18877.3539,Dec 31,2021-12-31T00:12:59.455Z,0
575,Avalanche Mainnet,161177,1434.4753,Dec 31,2021-12-31T00:12:59.455Z,0
576,IoTeX Mainnet,157385,1400.7265,Dec 31,2021-12-31T00:12:59.455Z,0
577,BSC Mainnet,382632,3405.4248,Dec 31,2021-12-31T00:12:59.455Z,0
578,Ethereum Kovan,152787,1359.8043,Dec 31,2021-12-31T00:12:59.455Z,0
579,Ethereum Archival,76965,684.9885,Dec 31,2021-12-31T00:12:59.455Z,0
580,Ethereum Archival,80299,714.6611,Jan 1,2022-01-01T00:01:21.052Z,0
581,Avalanche Mainnet,206412,1837.0668,Jan 1,2022-01-01T00:01:21.052Z,0
582,Harmony Shard 0,151325897,1346800.4833,Jan 1,2022-01-01T00:01:21.052Z,0
583,Ethereum Rinkeby,346656,3085.2384,Jan 1,2022-01-01T00:01:21.052Z,0
584,Ethereum,28080101,249912.8989,Jan 1,2022-01-01T00:01:21.052Z,0
585,Ethereum Goerli,738499,6572.6411,Jan 1,2022-01-01T00:01:21.052Z,0
586,BSC Mainnet,367119,3267.3591,Jan 1,2022-01-01T00:01:21.052Z,0
587,Solana Mainnet,662663,5897.7007,Jan 1,2022-01-01T00:01:21.052Z,0
588,FUSE Mainnet,4897139,43584.5371,Jan 1,2022-01-01T00:01:21.052Z,0
589,Ethereum Ropsten,134044,1192.9916,Jan 1,2022-01-01T00:01:21.052Z,0
590,xDAI,2921385,26000.3265,Jan 1,2022-01-01T00:01:21.052Z,0
591,POKT Mainnet,180226,1604.0114,Jan 1,2022-01-01T00:01:21.052Z,0
592,Polygon Mainnet,3158269,28108.5941,Jan 1,2022-01-01T00:01:21.052Z,0
593,IoTeX Mainnet,162269,1444.1941,Jan 1,2022-01-01T00:01:21.052Z,0
594,ETH Archival Trace,3488506,31047.7034,Jan 1,2022-01-01T00:01:21.052Z,0
595,Polygon Archival,215307,1916.2323,Jan 1,2022-01-01T00:01:21.052Z,0
596,Ethereum Kovan,148729,1323.6881,Jan 1,2022-01-01T00:01:21.052Z,0
597,xDAI Archival,139300,1239.77,Jan 1,2022-01-01T00:01:21.052Z,0
598,FUSE Archival,155918,1387.6702,Jan 1,2022-01-01T00:01:21.052Z,0
599,xDAI,30095167,267846.9863,2,2022-01-02T00:13:21.643Z,0
600,Ethereum,30361240,270215.036,2,2022-01-02T00:13:21.643Z,0
601,Ethereum Kovan,135016,1201.6424,2,2022-01-02T00:13:21.643Z,0
602,IoTeX Mainnet,159339,1418.1171,2,2022-01-02T00:13:21.643Z,0
603,Avalanche Mainnet,283629,2524.2981,2,2022-01-02T00:13:21.643Z,0
604,Ethereum Rinkeby,352173,3134.3397,2,2022-01-02T00:13:21.643Z,0
605,Harmony Shard 0,191651181,1705695.5108999999,2,2022-01-02T00:13:21.643Z,0
606,Solana Mainnet,657231,5849.3559,2,2022-01-02T00:13:21.643Z,0
607,ETH Archival Trace,3621087,32227.6743,2,2022-01-02T00:13:21.643Z,0
608,Polygon Archival,216006,1922.4533999999999,2,2022-01-02T00:13:21.643Z,0
609,Ethereum Ropsten,141914,1263.0346,2,2022-01-02T00:13:21.643Z,0
610,POKT Mainnet,191401,1703.4689,2,2022-01-02T00:13:21.643Z,0
611,Polygon Mainnet,6492432,57782.6448,2,2022-01-02T00:13:21.643Z,0
612,BSC Mainnet,387158,3445.7062,2,2022-01-02T00:13:21.643Z,0
613,xDAI Archival,135927,1209.7503,2,2022-01-02T00:13:21.643Z,0
614,Ethereum Goerli,782316,6962.6124,2,2022-01-02T00:13:21.643Z,0
615,FUSE Mainnet,5688106,50624.1434,2,2022-01-02T00:13:21.643Z,0
616,FUSE Archival,158746,1412.8394,2,2022-01-02T00:13:21.643Z,0
617,Ethereum Archival,79519,707.7191,2,2022-01-02T00:13:21.643Z,0
618,Ethereum,35732347,318017.8883,3,2022-01-03T00:13:32.152Z,0
619,Harmony Shard 0,255834111,2276923.5879,3,2022-01-03T00:13:32.152Z,0
620,xDAI Archival,142536,1268.5704,3,2022-01-03T00:13:32.152Z,0
621,ETH Archival Trace,3698695,32918.3855,3,2022-01-03T00:13:32.152Z,0
622,Solana Mainnet,716900,6380.41,3,2022-01-03T00:13:32.152Z,0
623,Ethereum Goerli,811924,7226.1236,3,2022-01-03T00:13:32.152Z,0
624,Ethereum Rinkeby,331729,2952.3881,3,2022-01-03T00:13:32.152Z,0
625,FUSE Mainnet,5769863,51351.7807,3,2022-01-03T00:13:32.152Z,0
626,BSC Mainnet,439280,3909.592,3,2022-01-03T00:13:32.152Z,0
627,POKT Mainnet,191053,1700.3717,3,2022-01-03T00:13:32.152Z,0
628,Ethereum Kovan,142500,1268.25,3,2022-01-03T00:13:32.152Z,0
629,FUSE Archival,150906,1343.0634,3,2022-01-03T00:13:32.152Z,0
630,IoTeX Mainnet,145754,1297.2105999999999,3,2022-01-03T00:13:32.152Z,0
631,Ethereum Ropsten,121111,1077.8879,3,2022-01-03T00:13:32.152Z,0
632,xDAI,33727159,300171.7151,3,2022-01-03T00:13:32.152Z,0
633,Polygon Archival,196547,1749.2683,3,2022-01-03T00:13:32.152Z,0
634,Polygon Mainnet,5113129,45506.8481,3,2022-01-03T00:13:32.152Z,0
635,Avalanche Mainnet,192982,1717.5398,3,2022-01-03T00:13:32.152Z,0
636,Ethereum Archival,73376,653.0464,3,2022-01-03T00:13:32.152Z,0
637,FUSE Mainnet,5507472,49016.5008,4,2022-01-04T00:01:27.880Z,0
638,Avalanche Mainnet,238775,2125.0975,4,2022-01-04T00:01:27.880Z,0
639,IoTeX Mainnet,152978,1361.5042,4,2022-01-04T00:01:27.880Z,0
640,POKT Mainnet,202318,1800.6302,4,2022-01-04T00:01:27.880Z,0
641,Ethereum Rinkeby,325985,2901.2665,4,2022-01-04T00:01:27.880Z,0
642,xDAI Archival,139434,1240.9626,4,2022-01-04T00:01:27.880Z,0
643,Ethereum Ropsten,143753,1279.4017,4,2022-01-04T00:01:27.880Z,0
644,Solana Mainnet,730790,6504.031,4,2022-01-04T00:01:27.880Z,0
645,Ethereum Goerli,938729,8354.6881,4,2022-01-04T00:01:27.880Z,0
646,Ethereum,37064466,329873.7474,4,2022-01-04T00:01:27.880Z,0
647,Harmony Shard 0,262806700,2338979.63,4,2022-01-04T00:01:27.880Z,0
648,BSC Mainnet,473069,4210.3141,4,2022-01-04T00:01:27.880Z,0
649,Polygon Archival,216567,1927.4463,4,2022-01-04T00:01:27.880Z,0
650,Polygon Mainnet,7360559,65508.975099999996,4,2022-01-04T00:01:27.880Z,0
651,Ethereum Archival,68879,613.0231,4,2022-01-04T00:01:27.880Z,0
652,xDAI,22927952,204058.7728,4,2022-01-04T00:01:27.880Z,0
653,ETH Archival Trace,4852071,43183.4319,4,2022-01-04T00:01:27.880Z,0
654,FUSE Archival,153811,1368.9179,4,2022-01-04T00:01:27.880Z,0
655,Ethereum Kovan,119111,1060.0879,4,2022-01-04T00:01:27.880Z,0
656,Polygon Mainnet,8257400,73490.86,5,2022-01-05T00:06:24.991Z,0
657,Ethereum Rinkeby,352572,3137.8908,5,2022-01-05T00:06:24.991Z,0
658,Avalanche Mainnet,301853,2686.4917,5,2022-01-05T00:06:24.991Z,0
659,Ethereum Kovan,131256,1168.1784,5,2022-01-05T00:06:24.991Z,0
