,chain,total_relays,total_pokt,point,first_time,last_time
65,Solana Mainnet,283020,2518.878,4,2021-12-04T00:03:50.140Z,0
66,Avalanche Mainnet,852499,7587.2411,4,2021-12-04T00:03:50.140Z,0
67,Polygon Mainnet,3402871,30285.5519,4,2021-12-04T00:03:50.140Z,0
68,Polygon Archival,85091,757.3099,4,2021-12-04T00:03:50.140Z,0
69,Harmony Shard 0,78494079,698597.3031,4,2021-12-04T00:03:50.140Z,0
70,BSC Mainnet,222622,1981.3358,4,2021-12-04T00:03:50.140Z,0
71,ETH Archival Trace,974405,8672.2045,4,2021-12-04T00:03:50.140Z,0
72,xDAI Archival,93161,829.1329,4,2021-12-04T00:03:50.140Z,0
73,IoTeX Mainnet,168842,1502.6938,4,2021-12-04T00:03:50.140Z,0
74,POKT Mainnet,116824,1039.7336,4,2021-12-04T00:03:50.140Z,0
75,Ethereum Archival,78,0.6942,4,2021-12-04T00:03:50.140Z,0
76,Harmony Shard 0,89143042,793373.0738,5,2021-12-05T00:01:23.565Z,0
77,Ethereum,31000875,275907.7875,5,2021-12-05T00:01:23.565Z,0
78,Polygon Mainnet,2377403,21158.8867,5,2021-12-05T00:01:23.565Z,0
79,Ethereum Ropsten,162095,1442.6455,5,2021-12-05T00:01:23.565Z,0
80,Solana Mainnet,312333,2779.7637,5,2021-12-05T00:01:23.565Z,0
81,FUSE Mainnet,4992410,44432.449,5,2021-12-05T00:01:23.565Z,0
82,Ethereum Rinkeby,392996,3497.6644,5,2021-12-05T00:01:23.565Z,0
83,xDAI Archival,100843,897.5027,5,2021-12-05T00:01:23.565Z,0
84,ETH Archival Trace,894142,7957.8638,5,2021-12-05T00:01:23.565Z,0
85,IoTeX Mainnet,154766,1377.4174,5,2021-12-05T00:01:23.565Z,0
86,POKT Mainnet,112353,999.9417,5,2021-12-05T00:01:23.565Z,0
87,Ethereum Goerli,608893,5419.1476999999995,5,2021-12-05T00:01:23.565Z,0
88,BSC Mainnet,186560,1660.384,5,2021-12-05T00:01:23.565Z,0
89,Ethereum Kovan,103259,919.0051,5,2021-12-05T00:01:23.565Z,0
90,xDAI,9379151,83474.4439,5,2021-12-05T00:01:23.565Z,0
91,Avalanche Mainnet,734956,6541.1084,5,2021-12-05T00:01:23.565Z,0
92,FUSE Archival,116090,1033.201,5,2021-12-05T00:01:23.565Z,0
93,Polygon Archival,85074,757.1586,5,2021-12-05T00:01:23.565Z,0
94,Ethereum Archival,105,0.9345,5,2021-12-05T00:01:23.565Z,0
